target	level	status	detail
tcnative/2.0.65.Final/aarch64/libc6-compat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/aarch64/libc6-compat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_6415517550562899652683.so+0x2466c
tcnative/2.0.75.Final/aarch64/libc6-compat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_644682676946611136352.so+0x2466c
tcnative/2.0.81.Final/aarch64/libc6-compat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_6411024635108731307153.so+0x2476c
epoll/4.2.12.Final/aarch64/gcompat	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
epoll/4.2.17.Final/aarch64/gcompat	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
tcnative/2.0.65.Final/aarch64/gcompat	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.73.Final/aarch64/gcompat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.75.Final/aarch64/gcompat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.81.Final/aarch64/gcompat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2476c
asyncProfiler/4.1/aarch64/gcompat	A	PASS	loaded libasyncProfiler-aarch_64.so
epoll/4.2.12.Final/aarch64/gcompat	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/aarch64/gcompat	B-epoll	PASS	Epoll.isAvailable()=true
tcnative/2.0.65.Final/aarch64/gcompat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/aarch64/gcompat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_642106592729811162058.so+0x2466c
tcnative/2.0.75.Final/aarch64/gcompat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_648178737654854016661.so+0x2466c
tcnative/2.0.81.Final/aarch64/gcompat	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_6417672284333068479293.so+0x2476c
